userName,score,at,content
A Something,5,2024-04-09 13:27:13,"Termasuk aplikasi terbaik yang pernah saya unduh; penjelasan menarik, adaptif, dan education consultant-nya pun interaktif dan sangat ramah. Saya sangat terbantu, terimakasih banyak😁👌"
Eka Zera,5,2024-04-08 14:24:27,"Terasa banget premiumnya gak nyesel buat berlangganan, banyak fitur keren dan penjelasannya yang berkualitas"
Fadhlam Khasyah rafid,5,2024-04-08 07:09:48,Bagus cepat memahami pembelajaran dengan mengenakan konsep konsep vidio apalagi ada brand academy jadi bisa berinteraksi dengan ticher ticher dan bisa berkomunikasi dengan teman teman brany academy. Banyak lagi fiturnya di ruang guru ini
Alifia Sekaranti,4,2024-04-08 04:58:38,"pas mau belajar terus masuk ke bab meterinya, loading dulu terus malah balik lagi ke menu awal, ntar dipencet lagi bab yang mau dipelajari ehh keluar lagi, jadi buang waktu, tlonk diperbaiki yhh"
Fardan Doang,3,2024-04-05 16:33:00,kalo download materi nya exp + tugas pet nya ga jalan ka padahal uda nonton ber bab² offline nya
Bilqis Arindi,5,2024-04-05 10:23:10,Ini sangat menyenangkan dan bisa jadi motivasi untuk belajar yok download sekarang
Adila Adila,5,2024-04-04 23:00:39,Aplikasi ini bagus banget bener bener ngebantu sihh👍👍👍👍
Al Baidawi,5,2024-04-04 07:05:27,"Sangat bagus dan keren, harga terjangkau dan bermanfaat"
Aliena Salsabila,1,2024-04-04 04:30:41,"Sayq sangat terganggu oleh spamchat dari pihak ruangguru untuk menawarkan jasa, apalagi hingga menelpon. Itu sangat MENGGANGGU."
Toni Riyanto,3,2024-04-03 22:26:05,"Untuk pelajaran TIK disini kenapa gak ada ya, padahal TIK itu lumayan penting"
Alifah Amelia,5,2024-04-03 13:22:57,"penjelasan lengkap, tapi tolong kak penjelasannya jangan terlalu mutar mutar. untuk drill soal suka sekali bermasalah, soal eror dan tidak keluar atau exp yang sudah diraih malah ga masuk akun, jadi sayang banget udah ngerjain 50an soal malah ga masuk xpnya"
Muhammad Taufik Septiyano,5,2024-04-03 03:42:36,"Ruang guru best deh,kalo ada masalah cepet banget ditanggapi,jd ngak nyesel udah langganan 😍😍"
Imel Nptpl,5,2024-04-02 08:53:50,"bagus, sangat membantu dalam pembelajaran saya"
Erika Syafitri,5,2024-04-01 12:10:41,"Rekomended bgtt aplikasi satu ini benar"" membantu, dan penjelasannya pun sangat mudah di mengerti"
YOLANDA TRI MEYLANI YOLANDA,5,2024-04-01 06:25:47,"Sangat membantu bagi para pelajar, penjelasannya benar benar mendetail"
Arsy HaffafAmara,5,2024-03-30 01:18:52,enak belajar di ruang guru banyak fitur menarik dan kita bisa milih paket sesuai keinginan kita terus video-video nya tuh singkat jadi gak ngebosenin lebih ditingkatkan lagi sih kataku
Naila Sabrina,3,2024-03-29 16:02:50,"Agak aneh apk nya Saya udah try out kuota tryout udah habis ,tapi ga bisa lihat hasil pencapaian aneh kan"
Vincent Jilivander,1,2024-03-28 14:00:24,Pembelajarannya mudah di mengerti
Sapta Aliansyah putra,1,2024-03-28 10:31:04,Opsi jawaban pada latihan soal tidak terlihat alias kekecilan
Rafa Aqila 11 IPS 4,1,2024-03-26 13:48:44,Saya kasih 1 karena pembahasannya masih amburadul dan salah. Tolong berikan pembahasan yang lebih tepat.
Fakhri Rizky,5,2024-03-25 15:20:12,"Sering ngebug pada menu pembelajaran terdapat tulisan ""sedang terjadi kesalahan sistem"" Dan itu sering sekali bukan karena signal atau kecepatan internet karena sudah di pastikan internet saya kencang, sering terjadi bug seperti ini membuat saya jadi tidak mood, tolong di perbaiki sistem atau servernya"
Delvina Agres Tambunan,5,2024-03-25 14:23:55,Bagus karena guru nya ceria baik dan sabar dalam mengajar walaupun online
Zaskia Rista,5,2024-03-25 09:07:13,"Seruuuuu bangettt belajar di ruangguru, selain ada animasi juga ada kuis di tiap video belajarnya, jadi kita bisa lebih paham lagi terkait materi yang sudah diberikan sebelumnya"
NAFISA PUTRI GISWANA,5,2024-03-24 22:43:17,"aplikasi bagus bangetttttt, pokoknya jangan di raguin lagi deh, yuk daftar kan diri mu menjadi murid ruangguru 😄"
FARMA ARDAN D.Y.P.,3,2024-03-24 22:00:38,Mohon untuk memperbaiki fitur drilling soal karena saat saya mengerjakan soal maupun jawaban ngeglitch dan tiba-tiba hilang kalimatnya
Kader Setiawan,1,2024-03-24 21:36:29,"Apalah, Salah satu mata pelajaran gak bisa dibuka gara gara loading terus terusan, sedangkan pelajaran yang lain bisa + wifi aman. Terutama saat Mata Pelajaran Sejarah,Sosiologi dan Geografi. Saya harap pihak Dev bisa mengatasinya"
Alma Hira,5,2024-03-23 04:01:52,"Aplikasi nya bagus banget buat belajar kita bisa lebih cepet paham dan materinya lengkap mulai sd, smp, sma, dan smk"
Hasna Faucha Aqiela,3,2024-03-22 07:42:45,"Cuma bisa kasih bintang 3 soalnya masih ada yang kurang, dari aplikasi nya masih suka lemot walaupun hp nya tidak ada masalah, kalau misal habis liat video trus lanjut ngerjain kuis itu tidak bisa langsung ke kuis nya, nunggu dulu. Kan ngeselin kalo lagi buru² Trus dari pelajaran, memang bagus bgt sih itu penjelasan nya tapi sayangnya disini masih belum apa pelajaran pjok atau olahraga ya,,, sisa nya udah bagus sih 👍"
Pak Muhsin,1,2024-03-21 18:05:37,"Kecepatan 22 Mbps, tapi gak bisa klaim voucher, udah 5 menitan muter² aja. Untung belum terlanjur langganan."
Fernando Ozora,3,2024-03-20 20:36:02,"Menurut saya dulunya ini aplikasi yang bagus, sekarang saya menyesal karena perpanjang paket dan semenjak itu juga ruang guru saya ngebug trs latihaj soal soal nya kalau gak ilang salah satu atau 2 opsi jawaban hilang di update bukanya makin bagus malah makin jelek"
RajaSomba20,5,2024-03-20 08:02:05,"Bagus bgttt, aku suka dan bisa menambah ilmu lebih luas, aku yg belum paham bgt dgn pecahan campuran skrg jadi bisaa"
Karunia Jaya,5,2024-03-20 07:07:33,Ini aplikasi sangat membantu untuk saya Saya yang belajar paket b begitu bingung mau ngapain. Untung ada aplikasi ini Dan saya bisa belajar banyak hal
Murdi Murdi,5,2024-03-20 06:48:16,Applikasi ini bagus baget coco² yang udah mendaftar ruang guru by ruang guru
Abdurrahman Rasyid Hadi,4,2024-03-20 05:55:57,"Bagus sih,cuman setiap kali aku masuk ke aplikasinya harus lengkapin data sekolahku,padahal sudah aku lengkapin setelah aku login. Tolong diperbaiki ya🙏😊."
YULI,5,2024-03-20 04:59:42,Aplikasinya sangat bagus memudahkan untuk belajar
Azka Auliya Nurazizah,5,2024-03-20 00:13:45,"Ruangguru bantu banget belajar akuu duendhsjsj, suka banget deh🐝 penjelasan nya gk belibet dan aku bisa langsung ngerti hee, apalagi pake Adapto"
Samsung A14,5,2024-03-18 10:44:06,Bagus banget bisa belajar nihh aku sangat luar biasa
siti lestari,5,2024-03-18 07:57:19,Bagus banget aplikasinya 👍 anak saya jadi ketagihan terus buka ruang guru makasih banyak sudah menciptakan aplikasi untuk belajar menjadi lebih seru
AfifahAzuraAdwaVardha,3,2024-03-17 06:25:27,"Bagus sih ,tapi kurang PAI itu kan pelajaran juga tapi kok g ada?"
Elisa Imanuella,4,2024-03-16 13:11:22,"Entah kenapa semenjak tampilan drill soal diperbaharui, sistemnya sering nge-lag, soal gak muncul atau pilgan gak lengkap. Pembahasan jg gak bisa digeser ke kanan jadi gak bisa lihat"
Milca Amaira,4,2024-03-16 05:56:08,"bagus !! Animasi dafa lulu seru bangeet , tapi sayang nya banyak yg berbayar.Jadi susah kalo mau belajar apalagi yg kelas VI tentang pubertas hadeuh BAYAR SEMUAAAAA !! pls banyakkin yg gratis!!banyak yang ga mampu lohh :(("
Ghina Shamira,3,2024-03-15 13:08:17,"Sebenarnya sudah cukup bagus, tapi kenapa ya ketika saya ingin mengerjakan soal, pertanyaan dan jawabannya itu tidak muncul??"
Sekolah Moba,1,2024-03-14 21:50:48,"Dari segi fitur lengkap banget, tapi dalam penyajian materi terbelit2 bikin ngantuk, adapto lumayan sih langsung ke intinya tapi dari segi penyampaian materi kalah telak sama tutor2 zenius."
Bidan_ Siti Hilmia,5,2024-03-14 14:47:44,"Pembelajaran mudah di pahami, kelas online nya sangat lengkap tidak sia-sia jika ambil paket bimbel disini, materi semuanya keluar tertata dengan rapih"
22_Najwa Aulia Jasmin (Jasmin),4,2024-03-13 08:04:49,"So far dari materi sama penjelasan udah lengkap banget. Tapi ada satu hal yang bikin gemes, pas mau nonton video materi mesti ga bisa, ngeload terus akhir akhir ini. Udah diupdate tp ttp aja ga bisa. Padahal koneksi lancar bgt buat sosmed dll bisa, tapi cuman di rg yang lemot bgt. Plis tolong, udah langganan buat 2 tahun kedepan, jadi sia sia mbayarnya huhu dan ganggu banget pas mau belajar jadi ngurungin niat keburu males duluan :("
Dzaky Naufal,2,2024-03-13 05:18:16,Lambat mau mau nya tolong dipercepat yah
Rindi,5,2024-03-12 22:42:41,"fitur drill nya nge bug, tolong diperbaiki, setiap saya menggunakan fitur drill, beberapa jawaban selalu tidak muncul, sehingga tidak bisa memilih jawaban yang benar, dan tampilannya sering bug"
Asma Yusuf,5,2024-03-10 14:37:13,Saya sangat senang belajar diruangguru.kaya bermain game. Pokoknya enak banget
Ananda Rakha Putra,5,2024-03-10 10:49:31,Tampilan atau UI-nya sangat user friendly. Video penjelasan sangat mudah dipahami. Overall mantap sih 🙏
Fabian Abhista Priya,5,2024-03-09 14:00:10,"Mantap, aplikasi nya ngedukung anak buat belajar.., dan materi nya jelas dan dapat di pahami..terima kasih ruang guru 🤗😇"
Akira Rafika,5,2024-03-09 10:26:58,"Suka banget sama video pembelajaran yang menarik, master teacher nya juga seru2 dan ga pernah ngebosenin, nyesek baru nyoba sekarang!, dan aku jadi rajin belajar karna ga mau nyia-nyiain kesempatan langganan aku, saran sama masukannya, tolong tambahin pelajaran kewirausahaan dong kak! Dan aku pengen di ruang guru di tambahin fitur flash card kak! Biar belajar tambah seru, karna metode belajar flash card efektif banget loh"
Ahmad Haidar,5,2024-03-09 09:33:56,"aplikasinya ruangguru bagus, sangat interaktif, banyak sekali perkembangannnya, apalagi fitur fiturnya, saya suka sekali sama fitur ""konsep kilat"", dimana fitur ini ngebantu saya jika disuruh membuat catatan, dikarenakan isi materi di konsep kilat sudah di ringkas supaya mudah dipahami oleh pelajar, terimakasih ruangguru !"
Denis. 11,4,2024-03-08 15:06:24,"Menurut saya penjelasan nya bagus untuk yang konten Indonesia, tapi untuk konten bahasa Inggrisnya menurut saya kurang. Dari tonasi dll nya masih agak kurang penyampaian nya terdengar flat dan kurang aja si menurut saya"
Intan n,5,2024-03-08 07:35:22,"ngebantu belajar bnget sii, fiturnya ga pelit aseli👍sepadan juga sama harganya wkwk"
Kayla Sqila,5,2024-03-08 04:10:18,"detail banget belajarnya, mudah di tangkep ke otak, jujur ya aku baru 2 hari belajar MTK sama tentang perekonomian langsung paham pembelajarannya. terus di selipin juga soal pemantik biar kita beneran ga ni menangkap materi nya(menurutku). dan bagus nya juga ruangguru tuh dia apk nya nyaman di gunain, ga ribet juga. keren deh, btw SUKSES TERUS RUANGGURU!!!"
YOSUA ALBERT MARTUA TAMBUNAN,2,2024-03-08 00:28:40,"Fitur Drill soal tolong diperbaiki, pilihan ganda selalu hilang bahkan terkadang yang hilang soalnya, saya kerjain apa jadinya🤷"
Zaqky Bisma Nugroho,1,2024-03-07 16:19:18,Minta tolong dong kalo malem jangan ada lag terus setiap malem pasti ada gangguan membuat tidak nyaman
Studih_idih hh,1,2024-03-07 13:42:39,"Kesel banget udah berhari hari gabisa memuat videonya, padahal jaringan udah kenceng bgt, tolong diperbaiki, saya langganan ruangguru udah lama padahal, jadi sedikit kecewa"
Zakariya,5,2024-03-06 18:32:20,"Aplikasi belajar terbaik, ini sangat bagus buat kita bisa belajar kapan saja dan dimana saja,dan penjelasan nya sangat mudah di mengerti dan dipahami, dan biaya nya pun bisa di jangkau setara dengan ilmu yang kita dapat. 👍👍"
XÐ_ FÅÚZÍ,1,2024-03-06 17:53:16,Ngelag banget padahal ada jaringan tapi kendala terus aplikasinya
Pahala Hasibuan,5,2024-03-06 08:35:50,Bermanfaat bagi guru dan murid agar makin memahami
ghaisan damia,1,2024-03-05 13:40:08,Banyak bug dikarenakan sistem katanya soalnya pakai wifi yg 100 Mbps masih bermasalah video nya gak bisa ditonton dan biasa nya tiba tiba video nya seperti belum langganan cuman bisa 1 bab mohon cepat di benarkan
Khatim Mudzanah Widya,1,2024-03-05 13:33:27,"Apa sih masalah mu, kenapa mau dibuka ngak ada satupun materi yang muncul padahal udah bayar mahal-mahal.. Kenapa aplikasinya makin jelek sih, ngak guna banget yang ngurus bagian sistem dan IT nya"
opo true,5,2024-03-05 13:26:25,"Aplikasi yg sangat bagus, mempermudah siswa belajar dan membuat belajar pun lebih menyenangkan, semoga ruangguru dapat terus berkembang dan mendidik murid lainnya dengan menyenangkan juga🙏"
AHENG NAZARIUS,5,2024-03-05 13:05:42,Sangat membantuku untuk belajar sekarang gak se lag dulu
MFMS 48,1,2024-03-05 12:58:35,"Woy, sudah berlangganan mahal-mahal, ketika di pake malah terdapat jaringan bermasalah padahal sudah di cek hasilnya 24 Mbps. Sudah ditanyakan lewat aplikasinya langsung tidak di respon. Maunya apa ini!!"
Hanifah,5,2024-03-05 12:32:01,kak aku mau belajar tapi leg banget pas buka ruangguru tapi buka apk lain lancar
Naila Wafida,1,2024-03-05 08:04:29,Tidak ada jawaban dan soalnya ini aplikasi apaan mending jangan di donglot deh nnti nyesal
Maiza Maiza,5,2024-03-03 14:20:16,"Aku suka! Penjelasannya sangat mudah untuk dipahami, Dan ada juga latihan atau quiz saat selesai nonton video nya jadi suka belajar dehh!! 💓"
Aqlan Hanafi Idris,1,2024-03-03 09:24:29,"ga jelas masa udh langganan 3 tahun jaringan baik"" saja lancar tidak ada masalah sudah update tetapi tidak bisa menonton vidio belajar hanya ada tulisan"" Gagal memuat vidio"" yuk coba lagi sudah berhari hari bug masalah jaringan seperti ini padahal saya mau belajar untuk ujian asts 👎👎👎👎🙏😪😪😪"
Diana Natalia Tnunay,5,2024-03-02 04:36:20,"Belajar di Ruang kita,,membuat kita jadi yang tidak tau menjadi tau,,💪💪💪🥰🥰"
Arina Rrq01,5,2024-03-02 04:01:03,Aku suka bgt sama ruang guru ini karena dari sini aku bisa pinter makasih 😘ruang guru
Nesaaleeza Collection,3,2024-03-02 01:17:19,"Aplikasinya bagus tapi lama pendaftarannya tolong dong harus memasukan nomor telepon, lah nama sekolah"
melonn,5,2024-03-01 10:52:54,"Pemberian materi dari semua pelajaran yang ada sudah benar dan baik, namun kalau memilih gambar yang jelas, jangan bisa pusing"
Nazwah Nysa Andjani,5,2024-02-27 11:07:39,"Haloo Semenjak aku belajar dan berlangganan diruangguru ini aku semakin dengan mudah cepat memahami materi yang disampaikan. Aku suka fitur video yang sangat menarik dan juga penjelasan yang jelas, terperinci dan aku ga bosen buat nonton ulang video nya."
Naifa Cahya,1,2024-02-26 14:17:04,"ngelag banget sih aplikasinya, sering error' juga, g jls bgt"
qila Ila,5,2024-02-26 10:58:10,Sangat bagus untuk anak-Anak
chandita ratana,5,2024-02-25 14:17:41,"aplikasi ruangguru sangat bermanfaat,bisa menonton vidio belajar,kuis,latihan soal dan masi banyak lagi,jadi aplikasi ini sangat di rekomendasi kan"
Juan Phillippe,4,2024-02-25 04:16:22,"Aplikasi yang keren banget, meski banyak soal latihan yang menantang tapi disitulah jati diriku terbentuk"
Alfian Alfarezi,1,2024-02-24 06:10:32,Kacau banget udah langganan 500rb buat fokus ke utbk.. masa bagian try out nya harus bayar lagi.. padahal kan gua langganan bagian utbk buat try out nya.. rugi dong
Siti Rohimah,5,2024-02-22 14:07:25,Sangat membantu sekali untuk pekerjaan rumah dan lancar aplikasinya terimakasih ruangguru
Ai tuti Gantini,5,2024-02-22 11:45:26,"bagus mudah dimengerti ,, tapi kadang suka bug atau kalo lagi enak enak nonton video nya suka keluar sendiri terus ada tulisan gitu"
Khalisya,5,2024-02-22 06:49:00,"Aku jadi lebih mudah buat belajar tentang matematika Sampai akhirnya aku mengikuti, program anak cerdas , thanks for watching ya ruang guru"
sicilia ummu fahimah,5,2024-02-21 07:27:05,"pembelajarannya bagus untuk anak sd smp dan lain lain... juga banyak yg unik kayak hewan peliharaannya,dan avatar avatar yg keren... bagus deh pokoknya..."
Wiro Waras,5,2024-02-20 11:59:48,Paket kuota internetnya buat lebih terjangkau lagi seperti waktu covid19
Raditya Aries,1,2024-02-20 01:20:50,"Kenapa saat ini banyak bug di appnya,kadang video tidak bisa dibuka padahal signal aman² aja, pemberitahuannya hanya sistem sedang error,padahal pembelajarannya sangat membantu"
Raka Fauzy Akbar,5,2024-02-20 01:03:35,"Trimakasih Ruangguru 👍, video penjelasan mudah dimengerti, tiap soal ada pembahasannya, mantap banget deh. Cuman kekurangannya gini, Waktu saya lagi ngerjain soal IPA, kan ada gambarnya tuh, misalnya tentang daun gitu, kurang lebih soalnya menanyakan ""bagian yg ditunjuk nomor 3 disebut?"". Tapi gambarnya gak bisa digeser-geser, sehingga ngebuat gak kelihatan bagian no 3nya. Itu memang begitu atau bisa digeser cuman HP saya aja yang bermasalah ya? Atau ada fiturnya?"
Rai -,5,2024-02-19 11:09:42,"Aplikasi nya bagus, tapi tolong tambahin fitur misalnya untuk baca buku pelajaran gitu,"
Slamet Slamet,5,2024-02-18 21:22:58,"Saya sebagai pengguna yang sudah berlangganan merasa terbantu untuk mempelajari pembelajaran nya, banyak animasi membuat saya pribadi tidak bosan dan didampingi oleh guru yang tidak membosankan."
Azka Farizki,4,2024-02-18 11:45:55,Saya sangat suka aplikasi ini karena semua pelajaran ada.Dan mempunyai teman belajar.
Abdi Nararya,4,2024-02-16 13:30:18,Aplikasi sangat bagus pembelajaran nya mudah dimengerti
Naila Nur Zahrah,5,2024-02-15 06:23:30,Video pembelajarannya sangat membantu dan banyak latihan soal yg bisa dikerjakan untuk melatih pemahaman
Muhammad Dzaky Yumna,5,2024-02-14 09:29:35,Sangat membantu.Fitur fitur yang disediakan membuat para pengguna khususnya pelajar menjadi tidak cepat bosan dalam proses belajar.Metode penjelasan yang singkat dan mudah dipahami dengan hadirnya fitur Adapto. Saya harap Ruangguru bisa terus memperhatikan dan mengembangkan detail kecil bagi setiap pengguna Ruangguru kedepannya
gariy priandara,5,2024-02-13 12:09:49,"Apk yg sangat bagus danjuga sangat membantu perkemangan belajar,cuman ada yg kurang yaitu tolong tambah kan pelajaran PABP (Pendidikan Agama dan Budi Pekerti) walaupun bukan materi pokok tapi seharusnya di tambahkan karna sama sama pelajaran semoga nanti ditambahin pliss😇🙏"
Dazai Osamu,4,2024-02-11 08:04:49,"Bagus, jadi paham materi di sekolah. Pembahasannya kadang terlalu cepat, jadi berharap ada fitur subtitle"
